Temperature(C),Pressure(psig),H2 to N2 ratio,Flow rate(ml/g),Ammonia Concentration(%)
320.0,0.0,0.5,100.0,0.36
320.0,20.49,0.5,100.0,0.69
320.0,39.18,0.5,100.0,0.96
320.0,59.59,0.5,100.0,1.21
320.0,79.93,0.5,100.0,1.43
320.0,0.0,1.0,100.0,0.58
320.0,10.24,1.0,100.0,0.79
320.0,20.11,1.0,100.0,0.96
320.0,39.33,1.0,100.0,1.23
320.0,59.44,1.0,100.0,1.44
320.0,75.44,1.0,100.0,1.55
320.0,79.85,1.0,100.0,1.57
320.0,0.0,2.0,100.0,0.6
320.0,10.09,2.0,100.0,0.78
320.0,20.41,2.0,100.0,0.94
320.0,39.18,2.0,100.0,1.15
320.0,59.51,2.0,100.0,1.29
320.0,75.59,2.0,100.0,1.34
320.0,80.0,2.0,100.0,1.34
320.0,0.0,3.0,100.0,0.61
320.0,10.32,3.0,100.0,0.71
320.0,20.56,3.0,100.0,0.79
320.0,39.18,3.0,100.0,0.91
320.0,59.44,3.0,100.0,1.0
320.0,79.85,3.0,100.0,1.03
320.0,0.0,5.0,100.0,0.51
320.0,10.32,5.0,100.0,0.56
320.0,20.49,5.0,100.0,0.59
320.0,39.33,5.0,100.0,0.65
320.0,59.66,5.0,100.0,0.67
320.0,79.85,5.0,100.0,0.68
280.5,80.0,1.0,100.0,0.56
321.99,80.0,1.0,100.0,1.54
342.11,80.0,1.0,100.0,1.59
362.24,80.0,1.0,100.0,1.51
401.24,80.0,1.0,100.0,1.24
280.25,80.0,1.0,200.0,0.31
301.37,80.0,1.0,200.0,0.76
321.74,80.0,1.0,200.0,1.13
342.11,80.0,1.0,200.0,1.33
361.74,80.0,1.0,200.0,1.35
381.37,80.0,1.0,200.0,1.26
401.24,80.0,1.0,200.0,1.09
280.5,80.0,1.0,250.0,0.27
321.49,80.0,1.0,250.0,1.0
340.12,80.0,1.0,250.0,1.17
361.24,80.0,1.0,250.0,1.22
400.99,80.0,1.0,250.0,1.03
280.25,80.0,1.0,50.0,1.21
321.99,80.0,1.0,50.0,1.85
360.25,80.0,1.0,50.0,1.6
399.25,80.0,1.0,50.0,1.32
340.62,80.0,1.0,50.0,1.72
